leagueid,seasonid,teamid,teamcity,teamname,conference,conferencerecord,playoffrank,clinchindicator,division,divisionrecord,divisionrank,wins,losses,winpct,leaguerank,record,home,road,l10,last10home,last10road,ot,threeptsorless,tenptsormore,longhomestreak,strlonghomestreak,longroadstreak,strlongroadstreak,longwinstreak,longlossstreak,currenthomestreak,strcurrenthomestreak,currentroadstreak,strcurrentroadstreak,currentstreak,strcurrentstreak,conferencegamesback,divisiongamesback,clinchedconferencetitle,clincheddivisiontitle,clinchedplayoffbirth,eliminatedconference,eliminateddivision,aheadathalf,behindathalf,tiedathalf,aheadatthird,behindatthird,tiedatthird,score100pts,oppscore100pts,oppover500,leadinfgpct,leadinreb,fewerturnovers,pointspg,opppointspg,diffpointspg,vseast,vsatlantic,vscentral,vssoutheast,vswest,vsnorthwest,vspacific,vssouthwest,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,preas,postas
00,22023,1610612738,Boston,Celtics,East,41-11,1, - e,Atlantic,15-2 ,1,64,18,0.78,3.0,64-18,37-4 ,27-14,7-3  ,9-1  ,7-3  ,2-4  ,6-7  ,42-5 ,20,W 20,8,W 8,11,2,2,W 2,-1,L 1,2,W 2,0.0,0.0,1,1,1,0,0,56-11,8-7  ,0-0  ,59-6 ,4-12 ,1-0  ,64-15,49-18,38-13,56-2 ,43-6 ,31-9 ,120.6,109.2,11.3,41-11,15-2,13-5,13-4,23-7,6-4,7-3,10-0,11-5,9-1,12-4,6-2,,,,,,3-0,11-4,12-2,43-12,21-6
00,22023,1610612752,New York,Knicks,East,35-17,2, - x,Atlantic,12-5 ,2,50,32,0.61,4.0,50-32,27-14,23-18,6-4  ,7-3  ,6-4  ,1-1  ,4-3  ,32-16,7,W 7,5,W 5,9,4,3,W 3,3,W 3,5,W 5,14.0,14.0,0,0,1,0,0,37-3 ,11-28,2-1  ,42-3 ,6-29 ,2-0  ,48-24,31-28,22-26,39-1 ,44-17,24-14,112.8,108.2,4.6,35-17,12-5,11-7,12-5,15-15,5-5,6-4,4-6,14-2,4-8,9-5,6-2,,,,,,2-2,9-5,6-8,33-22,17-10
00,22023,1610612749,Milwaukee,Bucks,East,34-18,3, - c,Central,10-7 ,1,49,33,0.598,1.0,49-33,31-11,18-22,3-7  ,6-4  ,2-8  ,2-2  ,4-6  ,25-16,9,W 9,4,W 4,7,4,2,W 2,-3,L 3,-2,L 2,15.0,0.0,0,1,1,0,0,38-8 ,11-23,0-2  ,42-5 ,6-27 ,1-1  ,49-27,39-33,28-23,38-6 ,34-8 ,22-11,119.0,116.4,2.6,34-18,12-6,10-7,12-5,15-15,4-6,5-5,6-4,8-8,7-5,8-6,2-6,,,,,,2-1,11-5,11-2,35-21,14-12
00,22023,1610612739,Cleveland,Cavaliers,East,31-21,4, - x,Central,11-5 ,2,48,34,0.585,,48-34,26-15,22-19,4-6  ,6-4  ,2-8  ,3-1  ,9-5  ,24-16,9,W 9,6,W 6,9,3,-1,L 1,-3,L 3,-1,L 1,16.0,1.0,0,0,1,0,0,36-12,9-22 ,3-0  ,42-7 ,6-27 ,0-0  ,47-25,34-34,24-25,42-7 ,33-5 ,20-17,112.6,110.2,2.4,31-21,9-8,11-5,11-8,17-13,5-5,4-6,8-2,11-2,9-4,7-10,3-4,,,,,,1-3,9-6,8-5,36-17,12-17
00,22023,1610612753,Orlando,Magic,East,32-20,5, - se,Southeast,9-7  ,1,47,35,0.573,,47-35,29-12,18-23,5-5  ,7-3  ,4-6  ,2-1  ,6-9  ,27-20,9,W 9,-5,L 5,9,4,4,W 4,-4,L 4,1,W 1,17.0,0.0,0,1,1,0,0,37-9 ,10-25,0-1  ,40-1 ,7-33 ,0-1  ,45-23,26-33,19-28,36-5 ,36-14,28-13,110.5,108.4,2.0,32-20,9-8,14-5,9-7,15-15,7-3,2-8,6-4,6-10,9-3,9-5,4-4,,,,,,2-2,11-3,6-8,30-25,17-10
00,22023,1610612754,Indiana,Pacers,East,32-20,6, - x,Central,11-6 ,3,47,35,0.573,2.0,47-35,26-15,21-20,7-3  ,7-3  ,6-4  ,0-1  ,6-5  ,30-16,5,W 5,5,W 5,6,4,5,W 5,-1,L 1,1,W 1,17.0,2.0,0,0,1,0,0,32-7 ,14-27,1-1  ,42-5 ,5-28 ,0-2  ,47-34,44-35,28-21,42-5 ,25-7 ,28-20,123.3,120.2,3.0,32-20,10-8,11-6,11-6,15-15,3-7,5-5,7-3,10-7,7-5,8-7,5-2,,,,,,2-1,7-7,8-6,31-25,16-10
00,22023,1610612755,Philadelphia,76ers,East,31-21,7,,Atlantic,8-8  ,3,47,35,0.573,,47-35,25-16,22-19,8-2  ,7-3  ,5-5  ,1-2  ,3-4  ,27-18,6,W 6,4,W 4,8,4,4,W 4,4,W 4,8,W 8,17.0,17.0,0,0,0,0,0,38-10,8-25 ,1-0  ,39-9 ,7-25 ,1-1  ,44-25,31-35,23-24,34-3 ,25-5 ,29-21,114.6,111.5,3.0,31-21,8-8,8-9,15-4,16-14,6-4,4-6,6-4,7-7,4-8,7-10,7-0,,,,,,2-1,10-5,10-4,32-22,15-13
00,22023,1610612748,Miami,Heat,East,32-20,8,,Southeast,13-3 ,2,46,36,0.561,,46-36,22-19,24-17,7-3  ,5-5  ,6-4  ,2-0  ,8-4  ,21-15,-4,L 4,6,W 6,7,7,2,W 2,1,W 1,2,W 2,18.0,1.0,0,0,0,0,0,36-9 ,8-25 ,2-2  ,40-9 ,3-26 ,3-1  ,44-20,33-35,22-26,39-2 ,25-11,28-14,110.1,108.4,1.8,32-20,8-10,11-7,13-3,14-16,3-7,5-5,6-4,6-10,8-3,8-7,5-3,,,,,,1-3,10-5,8-5,30-25,16-11
00,22023,1610612741,Chicago,Bulls,East,22-29,9,,Central,7-9  ,4,39,43,0.476,,39-43,20-21,19-22,5-5  ,4-6  ,5-5  ,7-4  ,6-8  ,12-25,3,W 3,-7,L 7,4,5,-1,L 1,-1,L 1,-1,L 1,25.0,10.0,0,0,0,0,0,26-11,13-31,0-1  ,27-7 ,9-35 ,3-1  ,39-33,31-42,19-32,30-10,24-15,24-27,112.3,113.7,-1.4,22-29,5-12,7-9,10-8,17-14,6-4,3-7,8-3,8-7,5-5,8-8,3-4,,,,,,2-2,4-12,9-5,26-29,13-14
00,22023,1610612737,Atlanta,Hawks,East,22-30,10,,Southeast,8-8  ,3,36,46,0.439,,36-46,21-20,15-26,3-7  ,6-4  ,2-8  ,4-2  ,9-6  ,15-21,4,W 4,-4,L 4,4,6,-2,L 2,-4,L 4,-6,L 6,28.0,11.0,0,0,0,0,0,25-13,9-31 ,2-2  ,26-5 ,8-39 ,2-2  ,35-41,30-46,18-32,27-5 ,24-13,17-23,118.3,120.5,-2.2,22-30,8-11,6-11,8-8,14-16,4-6,4-6,6-4,7-8,6-6,8-7,2-6,,,,,,2-2,7-7,4-10,24-31,12-15
00,22023,1610612751,Brooklyn,Nets,East,24-28,11, - o,Atlantic,5-11 ,4,32,50,0.39,,32-50,20-21,12-29,5-5  ,6-4  ,2-8  ,1-4  ,4-6  ,17-28,-4,L 4,-6,L 6,3,6,1,W 1,-3,L 3,-2,L 2,32.0,32.0,0,0,0,1,1,21-15,11-34,0-1  ,24-9 ,8-41 ,0-0  ,31-35,25-48,13-37,27-11,21-16,15-22,110.4,113.3,-2.9,24-28,5-11,8-9,11-8,8-22,2-8,3-7,3-7,4-10,4-8,6-10,3-4,,,,,,1-2,8-7,6-9,21-33,11-17
00,22023,1610612761,Toronto,Raptors,East,18-34,12, - o,Atlantic,1-15 ,5,25,57,0.305,,25-57,14-27,11-30,2-8  ,1-9  ,1-9  ,1-3  ,5-10 ,10-30,-8,L 8,-7,L 7,3,15,-1,L 1,-3,L 3,-4,L 4,39.0,39.0,0,0,0,1,1,19-14,6-42 ,0-1  ,19-10,6-47 ,0-0  ,24-46,21-55,10-38,19-12,21-13,10-24,112.4,118.8,-6.4,18-34,1-15,8-9,9-10,7-23,1-9,2-8,4-6,5-10,5-7,1-14,2-6,,,,,,1-3,8-7,3-10,19-36,6-21
00,22023,1610612766,Charlotte,Hornets,East,14-38,13, - o,Southeast,6-10 ,4,21,61,0.256,,21-61,11-30,10-31,3-7  ,3-7  ,3-7  ,1-1  ,7-3  ,5-43 ,-8,L 8,-8,L 8,4,11,-2,L 2,1,W 1,1,W 1,43.0,26.0,0,0,0,1,1,11-6 ,10-53,0-2  ,11-6 ,10-53,0-2  ,20-33,17-58,10-43,18-9 ,12-9 ,10-29,106.6,116.8,-10.2,14-38,4-14,4-14,6-10,7-23,3-7,1-9,3-7,3-13,5-8,3-12,3-5,,,,,,1-2,5-9,1-12,13-41,8-20
00,22023,1610612764,Washington,Wizards,East,11-41,14, - o,Southeast,4-12 ,5,15,67,0.183,,15-67,7-34 ,8-33 ,1-9  ,3-7  ,2-8  ,0-2  ,4-5  ,6-35 ,-16,L 16,-8,L 8,3,16,-3,L 3,-3,L 3,-6,L 6,49.0,32.0,0,0,0,1,1,12-15,3-51 ,0-1  ,9-5  ,5-61 ,1-1  ,15-60,14-66,4-46 ,13-11,8-4  ,8-29 ,113.7,123.0,-9.3,11-41,2-17,5-12,4-12,4-26,1-9,1-9,2-8,3-12,0-12,5-11,1-6,,,,,,1-2,2-13,3-11,9-45,6-22
00,22023,1610612765,Detroit,Pistons,East,10-41,15, - o,Central,2-14 ,5,14,68,0.171,,14-68,7-33 ,7-35 ,2-8  ,2-8  ,2-8  ,1-2  ,1-7  ,8-39 ,-14,L 14,-18,L 18,2,28,-7,L 7,-1,L 1,-1,L 1,50.0,35.0,0,0,0,1,1,9-10 ,4-56 ,1-2  ,11-9 ,3-58 ,0-1  ,13-58,9-68 ,5-47 ,13-17,11-25,4-17 ,109.9,119.0,-9.1,10-41,3-14,2-14,5-13,4-27,2-8,1-9,1-10,3-12,3-8,4-12,1-7,,,,,,2-2,0-15,1-12,8-46,6-22
